2theta/Degree,Intensity_GFO(Ga/Fe=1),Normalised_XRD_different ratio,Ga/Fe=1,Normalised_XRD_different ratio,Ga/Fe=0.5
25.94327,2.58773,25.94327,1.88E-05,25.94327,0.02311
25.96295,5.51192,25.96295,4.01E-05,25.96295,0.02275
25.98263,8.62516,25.98263,6.28E-05,25.98263,0.02059
26.00231,11.82918,26.00231,8.61E-05,26.00231,0.0217
26.02199,14.34314,26.02199,1.04E-04,26.02199,0.02689
26.04167,16.38613,26.04167,1.19E-04,26.04167,0.02319
26.06135,18.33781,26.06135,1.33E-04,26.06135,0.02059
26.08103,19.83964,26.08103,1.44E-04,26.08103,0.02237
26.10071,20.74387,26.10071,1.51E-04,26.10071,0.0256
26.12039,21.63655,26.12039,1.57E-04,26.12039,0.02157
26.14007,22.5881,26.14007,1.64E-04,26.14007,0.02033
26.15975,23.60383,26.15975,1.72E-04,26.15975,0.02352
26.17943,24.68962,26.17943,1.80E-04,26.17943,0.02218
26.19911,25.85208,26.19911,1.88E-04,26.19911,0.02298
26.21878,27.09859,26.21878,1.97E-04,26.21879,0.02229
26.23846,28.43746,26.23846,2.07E-04,26.23846,0.02407
26.25814,29.87804,26.25814,2.17E-04,26.25814,0.02368
26.27782,31.43089,26.27782,2.29E-04,26.27782,0.01921
26.2975,33.10798,26.2975,2.41E-04,26.2975,0.02449
26.31718,34.92293,26.31718,2.54E-04,26.31718,0.02242
26.33686,36.89126,26.33686,2.69E-04,26.33686,0.02518
26.35654,39.03074,26.35654,2.84E-04,26.35654,0.02387
26.37622,41.3618,26.37622,3.01E-04,26.37622,0.02606
26.3959,43.908,26.3959,3.20E-04,26.3959,0.02591
26.41558,46.69664,26.41558,3.40E-04,26.41558,0.02746
26.43526,49.75946,26.43526,3.62E-04,26.43526,0.02694
26.45494,53.13361,26.45494,3.87E-04,26.45494,0.02939
26.47462,56.86271,26.47462,4.14E-04,26.47462,0.02347
26.4943,60.9983,26.4943,4.44E-04,26.4943,0.02431
26.51398,65.6016,26.51398,4.78E-04,26.51398,0.02694
26.53366,70.74581,26.53366,5.15E-04,26.53366,0.02609
26.55334,76.51901,26.55334,5.57E-04,26.55334,0.02435
26.57302,83.02795,26.57302,6.04E-04,26.57302,0.0243
26.5927,90.40312,26.5927,6.58E-04,26.5927,0.02515
